index,County,Precinct,Registered Voters,Don Cole (Rep)_Election Day Votes,Don Cole (Rep)_Advanced Voting Votes,Don Cole (Rep)_Absentee by Mail Votes,Don Cole (Rep)_Provisional Votes,Don Cole (Rep)_Choice Total,Sanford Bishop (I) (Dem)_Election Day Votes,Sanford Bishop (I) (Dem)_Advanced Voting Votes,Sanford Bishop (I) (Dem)_Absentee by Mail Votes,Sanford Bishop (I) (Dem)_Provisional Votes,Sanford Bishop (I) (Dem)_Choice Total,Total,
0,Bibb,East Macon 1,2108,13,16,7,1,37,226,362,333,5,926,963,
1,Bibb,East Macon 2,3932,44,57,40,0,141,433,987,750,8,2178,2319,
2,Bibb,East Macon 3,3494,118,304,120,0,542,303,710,539,6,1558,2100,
3,Bibb,East Macon 4,2280,32,33,20,2,87,340,489,464,4,1297,1384,
4,Bibb,East Macon 5,2552,110,159,85,0,354,254,571,450,2,1277,1631,
5,Bibb,Godfrey 1,6283,96,151,55,0,302,541,1416,982,7,2946,3248,
6,Bibb,Godfrey 2,2158,30,41,12,0,83,206,330,262,1,799,882,
7,Bibb,Godfrey 3,3292,36,79,30,0,145,376,707,449,4,1536,1681,
8,Bibb,Godfrey 4,2231,42,59,21,0,122,235,320,264,2,821,943,
9,Bibb,Godfrey 5,4761,80,102,77,0,259,614,1092,650,4,2360,2619,
10,Bibb,Hazzard 1,3377,46,92,58,1,197,444,726,503,4,1677,1874,
11,Bibb,Hazzard 3,7068,277,631,211,6,1125,539,1703,1057,11,3310,4435,
12,Bibb,Hazzard 4,4745,334,536,169,0,1039,127,320,223,0,670,1709,
13,Bibb,Howard 1,3436,72,215,90,1,378,9,52,58,0,119,497,
14,Bibb,Rutland 1,5704,871,1079,459,0,2409,299,995,562,3,1859,4268,
15,Bibb,Rutland 2,3409,651,609,240,0,1500,210,462,248,6,926,2426,
16,Bibb,Vineville 1,3572,181,344,126,2,653,273,688,538,2,1501,2154,
17,Bibb,Vineville 2,2067,99,136,48,1,284,204,375,368,0,947,1231,
18,Bibb,Vineville 3,3127,27,69,41,0,137,315,747,522,5,1589,1726,
19,Bibb,Vineville 4,4097,71,144,40,0,255,512,888,621,6,2027,2282,
20,Bibb,Warrior 1,2617,588,467,156,2,1213,152,316,261,2,731,1944,
21,Bibb,Warrior 2,3232,561,749,168,4,1482,119,493,333,2,947,2429,
