index,County,Precinct,Registered Voters,Keisha Wright Hill (Dem)_Election Day Votes,Keisha Wright Hill (Dem)_Advanced Voting Votes,Keisha Wright Hill (Dem)_Absentee by Mail Votes,Keisha Wright Hill (Dem)_Provisional Votes,Keisha Wright Hill (Dem)_Choice Total,Total,
0,Clayton,Ellenwood 1,3020,234,1189,648,5,2076,2076,
1,Clayton,Ellenwood 2,3273,255,1326,583,4,2168,2168,
2,Clayton,Forest Park 1,3566,433,532,381,9,1355,1355,
3,Clayton,Forest Park 2,2821,321,573,383,10,1287,1287,
4,Clayton,Forest Park 3,2845,279,487,362,17,1145,1145,
5,Clayton,Forest Park 4,1783,191,396,193,0,780,780,
6,Clayton,Forest Park 5,3924,429,787,401,18,1635,1635,
7,Clayton,Forest Park 6,1463,132,358,144,2,636,636,
8,Clayton,Jonesboro 1,3244,297,968,602,6,1873,1873,
9,Clayton,Jonesboro 2,4345,393,1288,742,10,2433,2433,
10,Clayton,Jonesboro 3,4107,299,1257,802,8,2366,2366,
11,Clayton,Jonesboro 4,2574,233,548,276,5,1062,1062,
12,Clayton,Jonesboro 5,2064,265,557,327,0,1149,1149,
13,Clayton,Jonesboro 6,2574,158,675,555,3,1391,1391,
14,Clayton,Jonesboro 7,3174,295,954,511,6,1766,1766,
15,Clayton,Jonesboro 8,3947,443,1029,375,4,1851,1851,
16,Clayton,Jonesboro 9,1759,161,330,198,3,692,692,
17,Clayton,Jonesboro 10,3398,350,700,421,5,1476,1476,
18,Clayton,Jonesboro 11,3863,295,1210,741,3,2249,2249,
19,Clayton,Jonesboro 12,3067,323,858,417,14,1612,1612,
20,Clayton,Jonesboro 13,2140,251,677,371,4,1303,1303,
21,Clayton,Jonesboro 14,4116,291,1333,791,4,2419,2419,
22,Clayton,Jonesboro 15,2872,253,686,256,9,1204,1204,
23,Clayton,Jonesboro 16,2560,323,560,339,3,1225,1225,
24,Clayton,Jonesboro 17,3359,320,803,505,10,1638,1638,
25,Clayton,Jonesboro 18,3301,339,946,438,6,1729,1729,
26,Clayton,Jonesboro 19,3299,308,909,509,10,1736,1736,
27,Clayton,Lake City,3217,283,830,384,10,1507,1507,
28,Clayton,Lovejoy 1,4061,338,1410,641,2,2391,2391,
29,Clayton,Lovejoy 2,3611,261,1134,484,9,1888,1888,
30,Clayton,Lovejoy 3,1666,126,634,382,3,1145,1145,
31,Clayton,Lovejoy 4,4149,299,1591,634,4,2528,2528,
32,Clayton,Lovejoy 5,3451,313,1033,496,15,1857,1857,
33,Clayton,Lovejoy 6,3708,287,1270,608,8,2173,2173,
34,Clayton,Lovejoy 7,2779,256,825,222,6,1309,1309,
35,Clayton,Morrow 1,3328,419,775,366,2,1562,1562,
36,Clayton,Morrow 2,2081,142,524,273,3,942,942,
37,Clayton,Morrow 3,2407,190,622,379,5,1196,1196,
38,Clayton,Morrow 4,2112,207,504,279,3,993,993,
39,Clayton,Morrow 5,3056,285,1101,587,2,1975,1975,
40,Clayton,Morrow 6,3030,321,953,446,5,1725,1725,
41,Clayton,Morrow 7,2142,277,470,247,7,1001,1001,
42,Clayton,Morrow 8,3185,279,1125,544,10,1958,1958,
43,Clayton,Morrow 9,1509,135,414,225,1,775,775,
44,Clayton,Morrow 10,2342,175,833,289,3,1300,1300,
45,Clayton,Morrow 11,2295,249,684,293,2,1228,1228,
46,Clayton,Oak 1,2635,339,741,284,3,1367,1367,
47,Clayton,Oak 2,1974,243,419,220,10,892,892,
48,Clayton,Oak 3,2731,321,683,379,5,1388,1388,
49,Clayton,Oak 4,4233,450,1135,484,6,2075,2075,
50,Clayton,Oak 5,1795,183,402,85,5,675,675,
51,Clayton,Panhandle 1,2895,250,1069,588,2,1909,1909,
52,Clayton,Panhandle 2,3382,308,1240,512,4,2064,2064,
53,Clayton,Riverdale 1,2330,179,849,433,9,1470,1470,
54,Clayton,Riverdale 2,3431,322,932,546,24,1824,1824,
55,Clayton,Riverdale 3,3650,349,1115,612,7,2083,2083,
56,Clayton,Riverdale 4,4362,442,1001,664,10,2117,2117,
57,Clayton,Riverdale 5,2970,321,830,435,10,1596,1596,
58,Clayton,Riverdale 6,3661,375,686,403,9,1473,1473,
59,Clayton,Riverdale 7,3020,314,548,338,13,1213,1213,
60,Clayton,Riverdale 8,2895,256,917,614,5,1792,1792,
61,Clayton,Riverdale 9,2653,286,737,389,6,1418,1418,
62,Clayton,Riverdale 10,3176,335,683,290,9,1317,1317,
63,Clayton,Riverdale 11,1881,171,623,315,1,1110,1110,
64,Clayton,Riverdale 12,3065,307,917,537,2,1763,1763,
