index,County,Precinct,Registered Voters,Christina J. Peterson (Dem)_Election Day Votes,Christina J. Peterson (Dem)_Advanced Voting Votes,Christina J. Peterson (Dem)_Absentee by Mail Votes,Christina J. Peterson (Dem)_Provisional Votes,Christina J. Peterson (Dem)_Choice Total,Total,
0,Douglas,Mirror Lake Elementary,6745,646,1659,1073,4,3382,3382,
1,Douglas,Winston,1911,191,506,215,1,913,913,
2,Douglas,Dog River Library,4915,277,1222,539,0,2038,2038,
3,Douglas,Atlanta West Pentecostal,4076,425,1004,536,1,1966,1966,
4,Douglas,Ephesus Baptist Church,3930,349,816,399,0,1564,1564,
5,Douglas,Prays Mill Gym,5459,379,1328,749,0,2456,2456,
6,Douglas,Turner,3847,399,906,539,0,1844,1844,
7,Douglas,First Baptist Lithia Springs,1966,199,408,283,5,895,895,
8,Douglas,Lithia Springs High School,6033,413,1989,1160,1,3563,3563,
9,Douglas,Deer Lick,3042,208,780,378,1,1367,1367,
10,Douglas,Golden Methodist Church,5634,488,1690,966,3,3147,3147,
11,Douglas,Old Courthouse,5675,409,1354,794,4,2561,2561,
12,Douglas,Beulah Baptist Church,3500,332,802,448,1,1583,1583,
13,Douglas,Stewart,3208,347,922,527,1,1797,1797,
14,Douglas,Arbor Station,2990,318,786,432,7,1543,1543,
15,Douglas,Bright Star,2703,267,579,362,2,1210,1210,
16,Douglas,Dorsett Shoals,3901,366,804,504,1,1675,1675,
17,Douglas,Chapel Hill,4016,323,1359,728,6,2416,2416,
18,Douglas,Church At Chapel Hill,6353,441,2155,1055,0,3651,3651,
19,Douglas,Chestnut Log,5177,352,1274,665,5,2296,2296,
20,Douglas,St Julians Episcopal,2253,221,457,345,0,1023,1023,
21,Douglas,Lutheran Church-GS,4149,78,1306,745,1,2130,2130,
22,Douglas,First Baptist Douglasville,2478,149,700,486,0,1335,1335,
23,Douglas,Factory Shoals,4359,272,1555,765,0,2592,2592,
24,Douglas,Boundary Waters,4220,277,1661,660,1,2599,2599,
