index,County,Precinct,Registered Voters,Mark Newton (I) (Rep)_Election Day Votes,Mark Newton (I) (Rep)_Advanced Voting Votes,Mark Newton (I) (Rep)_Absentee by Mail Votes,Mark Newton (I) (Rep)_Provisional Votes,Mark Newton (I) (Rep)_Choice Total,Total,
0,Richmond,107,1800,242,392,255,0,889,889,
1,Richmond,108,517,56,59,58,0,173,173,
2,Richmond,301,2409,406,717,408,1,1532,1532,
3,Richmond,303,1417,176,525,246,1,948,948,
4,Richmond,305,428,51,180,102,1,334,334,
5,Richmond,307,1642,218,467,271,0,956,956,
6,Richmond,308,622,78,129,74,0,281,281,
7,Richmond,701,2403,360,694,385,1,1440,1440,
8,Richmond,705,2276,290,601,397,2,1290,1290,
9,Richmond,706,3315,332,1081,517,0,1930,1930,
